258	7261	Reward: 3.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
259	7277	Reward: 1.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
260	7299	Reward: 1.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
261	7318	Reward: 4.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
262	7353	Reward: 6.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
263	7384	Reward: 8.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
264	7410	Reward: 5.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
265	7429	Reward: 2.0	 Reward_mean: 4.2 	 Epsilon: 1.0 
266	7448	Reward: 2.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
267	7471	Reward: 6.0	 Reward_mean: 3.9 	 Epsilon: 1.0 
268	7498	Reward: 4.0	 Reward_mean: 3.7 	 Epsilon: 1.0 
269	7529	Reward: 8.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
270	7553	Reward: 7.0	 Reward_mean: 4.1 	 Epsilon: 1.0 
271	7572	Reward: 0.0	 Reward_mean: 4.1 	 Epsilon: 1.0 
272	7596	Reward: 3.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
273	7631	Reward: 6.0	 Reward_mean: 4.2 	 Epsilon: 1.0 
274	7667	Reward: 9.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
275	7698	Reward: 6.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
276	7717	Reward: 2.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
277	7742	Reward: 4.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
278	7768	Reward: 7.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
279	7788	Reward: 1.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
280	7812	Reward: 3.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
281	7832	Reward: 1.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
282	7859	Reward: 4.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
283	7902	Reward: 14.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
284	7930	Reward: 7.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
285	7951	Reward: 2.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
286	7973	Reward: 1.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
287	8007	Reward: 7.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
288	8039	Reward: 7.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
289	8052	Reward: 0.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
290	8097	Reward: 10.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
291	8130	Reward: 6.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
292	8149	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
293	8171	Reward: 3.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
294	8199	Reward: 5.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
295	8241	Reward: 7.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
296	8270	Reward: 4.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
297	8305	Reward: 8.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
298	8339	Reward: 7.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
299	8369	Reward: 5.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
300	8382	Reward: 0.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
301	8412	Reward: 5.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
302	8460	Reward: 13.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
303	8498	Reward: 10.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
304	8526	Reward: 5.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
305	8543	Reward: 0.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
306	8562	Reward: 4.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
307	8578	Reward: 1.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
308	8604	Reward: 3.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
309	8630	Reward: 5.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
310	8662	Reward: 7.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
311	8689	Reward: 2.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
312	8715	Reward: 5.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
313	8734	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
314	8765	Reward: 6.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
315	8802	Reward: 8.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
316	8819	Reward: 2.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
317	8835	Reward: 1.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
318	8870	Reward: 6.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
319	8912	Reward: 13.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
320	8964	Reward: 17.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
321	8981	Reward: 2.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
322	9032	Reward: 14.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
323	9061	Reward: 4.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
324	9084	Reward: 4.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
325	9114	Reward: 5.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
326	9159	Reward: 12.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
327	9189	Reward: 7.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
328	9232	Reward: 8.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
329	9265	Reward: 6.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
330	9286	Reward: 2.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
331	9303	Reward: 2.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
332	9331	Reward: 3.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
333	9361	Reward: 5.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
334	9398	Reward: 6.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
335	9437	Reward: 8.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
336	9471	Reward: 5.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
337	9505	Reward: 9.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
338	9527	Reward: 5.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
339	9554	Reward: 4.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
340	9587	Reward: 6.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
341	9632	Reward: 14.0	 Reward_mean: 6.4 	 Epsilon: 1.0 
342	9668	Reward: 7.0	 Reward_mean: 6.4 	 Epsilon: 1.0 
